FILE	FILE_SIZE_BYTES	RECON_COUNT
COG2946	1141	5.0
COG4292	1109	12.0
COG4063	1068	1.0
COG5553	1073	4.0
COG3324	1823	36.0
COG4756	1051	4.0
COG2850	1236	1.0
COG4710	1026	3.0
COG2935	1394	4.0
COG0446	1197	3.0
COG3711	1806	384.0
COG0757	1919	66.0
COG2981	1255	4.0
COG4964	1449	18.0
COG4908	1039	8.0
COG4565	1392	18.0
COG3777	1073	2.0
COG2078	1546	24.0
COG5566	1111	1.0
COG1732	1719	3420.0
COG2860	1835	224.0
COG1865	1365	2.0
COG5248	1103	2.0
COG4401	1197	24.0
COG4989	1263	2.0
COG2096	1735	48.0
COG2427	1335	4.0
COG5412	1121	6.0
COG1173	7106	1299261358080.0
COG3370	1066	2.0
COG3756	1074	3.0
COG0861	3165	7864320.0
COG4920	1024	1.0
COG1663	1766	192.0
COG4214	1360	16.0
COG1873	1387	1.0
COG1513	1146	8.0
COG3232	1235	80.0
COG5428	1068	3.0
COG4009	1024	1.0
COG0500	22959	9.07797462942e+77
COG1779	1171	2.0
COG1728	1089	2.0
COG4677	2091	9.0
COG3098	1128	1.0
COG2804	2666	663552.0
COG1051	1010	1.0
COG1820	2057	24192.0
COG0039	1205	3.0
COG0639	7320	3652869685250.0
COG1445	2035	72.0
COG4898	1039	2.0
COG3919	1040	3.0
COG0373	2109	360.0
COG3770	1182	3.0
COG0727	1111	6.0
COG3140	1074	1.0
COG4240	1127	4.0
COG4301	1217	12.0
COG2151	1965	432.0
COG0610	1719	181248.0
COG3946	1074	2.0
COG3484	1110	9.0
COG3161	1302	1.0
COG1052	3493	7815168.0
COG1708	2332	25920.0
COG5208	1274	4.0
COG4536	1270	2.0
COG3064	1163	4.0
COG2461	1120	8.0
COG3366	1170	2.0
COG3180	1235	3.0
COG1142	1656	144.0
COG0187	3708	1152.0
COG3799	1054	4.0
COG0008	4054	516096.0
COG5180	1052	1.0
COG2308	1433	72.0
COG3614	1057	12.0
COG0163	2071	144.0
COG5639	1111	2.0
COG2895	1593	4.0
COG1484	2298	8.0
COG2927	1379	4.0
COG0782	2934	6144.0
COG4068	1023	3.0
COG3821	1092	2.0
COG3067	1111	1.0
COG2453	3989	331776000.0
COG3611	1172	4.0
COG4809	1068	3.0
COG3435	1092	3.0
COG1951	1867	48.0
COG0066	1921	1024.0
COG1858	1833	3456.0
COG0713	2078	16560.0
COG1669	1440	12.0
COG5040	2139	480.0
COG3561	1039	5.0
COG0549	1557	8.0
COG3014	1089	3.0
COG4707	1024	2.0
COG5586	1042	2.0
COG1419	1459	2.0
COG5534	1074	9.0
COG3803	1309	36.0
COG5273	3337	42624.0
COG5506	1154	1.0
COG2022	1899	20736.0
COG1244	1100	1.0
COG1850	1354	96.0
COG2006	1224	14.0
COG5577	1052	2.0
COG4799	3080	7464960.0
COG0863	1041	5.0
COG1768	1056	3.0
COG1974	1894	512.0
COG2223	1726	360.0
COG4028	1010	2.0
COG2941	1282	6.0
COG0294	1024	2.0
COG4246	1074	1.0
COG4002	1038	3.0
COG2388	1481	48.0
COG0136	2857	192000.0
COG3763	1085	1.0
COG2149	1093	1.0
COG2886	1085	2.0
COG0675	3400	41472.0
COG2885	1041	3.0
COG4281	1689	48.0
COG0149	3092	339738624.0
COG4168	1093	1.0
COG0072	2807	55296.0
COG5542	1122	1.0
